firstname;gender
Aaran;m
Aaron;m
Abagail;w
Abbie;w
Abby;w
Abdul Qadir;m
Abe;m
Abel;m
Abelina;w
Abigail;w
Abner;m
Abraham;m
Abram;m
Achatius;m
Achaz;m
Achim;m
Achmed;m
Achmet;m
Ada;w
Adalbero;m
Adam;m
Adamo;m
Adela;w
Adelaide;w
Adélaïde;w
Adelbert;m
Adele;w
Adèle;w
Adelheid;w
Adelina;w
Adeline;w
Adelmo;m
Adelmus;m
Adina;w
Adine;w
Adis;m
Admir;m
Adnan;m
Adolf;m
Adolfo;m
Adolph;m
Adolphe;m
Adolphus;m
Adriaan;m
Adriaen;m
Adrian;m
Adriana;w
Adriane;w
Adriano;m
Adrien;m
Adrienne;w
Aegid;m
Aegidius;m
Aeneas;m
Afra;w
Agata;w
Agatha;w
Agathe;w
Agda;w
Aggelos;m
Ägid;m
Ägidius;m
Ägilius;m
Aglaia;w
Aglaja;w
Agnes;w
Agnès;w
Agnesa;w
Agnese;w
Agneta;w
Agnete;w
Agnieszka;w
Agnita;w
Agon;w
Ahab;m
Ahas;m
Ahmad;m
Ahmed;m
Ahmet;m
Aicha;w
Aida;w
Aidan;m
Aiko;w
Aiko;m
Aila;w
Aileen;w
Aimée;w
Aimo;m
Aischa;w
Aisha;w
Ajdin;m
Ajla;w
Akim;m
Aladdin;m
Aladin;m
Alain;m
Alan;m
Alana;w
Alanis;w
Alasdair;m
Alastair;m
Alba;w
Albain;m
Alban;m
Albana;w
Albano;m
Alberich;m
Albero;m
Albert;m
Alberta;w
Albertina;w
Albertine;w
Alberto;m
Albin;m
Albina;w
Albine;w
Albino;m
Albion;m
Albrecht;m
Albulena;w
Alda;w
Alden;m
Aldhelm;m
Aldin;m
Aldo;m
Aleandro;m
Alec;m
Alejandro;m
Aleksandar;m
Aleksandr;m
Aleksandra;w
Alen;m
Alena;w
Alena;w
Alene;w
Alessa;w
Alessandra;w
Alessandro;m
Alessia;w
Alessio;m
Alex;m
Alexa;w
Alexander;m
Alexandra;w
Alexandre;m
Alexandria;w
Alexandrina;w
Alexandrine;w
Alexandros;m
Alexej;m
Alexia;w
Alexis;w
Alexis;m
Alexius;m
Aleyna;w
Alf;m
Alf-Peter;m
Alfons;m
Alfonso;m
Alfred;m
Alfreda;w
Alfredo;m
Ali;m
Alia;w
Alice;w
Alicia;w
Alina;w
Aline;w
Alisa;w
Alisha;w
Alison;w
Alissa;w
Alissia;w
Alistair;m
Alister;m
Alizée;w
Aljoscha;m
Allah;m
Allan;m
Allegra;w
Allen;m
Allison;w
Allissia;w
Allmut;w
Alma;w
Almedina;w
Almut;w
Almute;w
Alois;m
Aloïs;m
Aloisia;w
Aloisius;m
Alonso;m
Alonzo;m
Aloys;m
Aloysius;m
Alphons;m
Alphonse;m
Althea;w
Alton;m
Alvin;m
Alvise;m
Alwin;m
Alya;w
Alyssa;w
Amabel;w
Amadeo;m
Amadeus;m
Amalia;w
Amalie;w
Amanda;w
Amandine;w
Amando;m
Amar;m
Amaryllis;w
Amata;w
Amber;w
Ambra;w
Ambrogio;m
Ambroise;m
Ambros;m
Ambrose;m
Ambrosia;w
Ambrosina;w
Ambrosine;w
Ambrosio;m
Ambrosius;m
Amédé;m
Amedea;w
Amédée;m
Amedeo;m
Ameena;w
Amelia;w
Amelie;w
Amélie;w
Amélie;w
Amely;w
Amer;m
Amin;m
Amina;w
Aminah;w
Amine;m
Aminta;w
Amir;m
Amira;w
Amos;m
Amra;w
Amrei;w
Amy;w
Amynta;w
Ana;w
Anabel;w
Anaëlle;w
Anahita;w
Anais;w
Anaïs;w
Anastasia;w
Anastasio;m
Anastasius;m
Ancel;m
Anders;m
Andi;m
Andoni;m
Andor;m
András;m
Andre;m
André;m
Andrea;w
Andrea;m
Andreas;m
Andrée;w
Andrei;m
Andreia;w
Andrej;m
Andres;m
Andrés;m
Andrew;m
Andri;m
Andriana;w
Andrijana;w
Andrina;w
Andy;m
Anett;w
Anette;w
Anezka;w
Angel;m
Angela;w
Angelica;w
Angelika;w
Angelike;w
Angelina;w
Angélique;w
Angélique;w
Angelo;m
Angelos;m
Angelus;m
Angharad;w
Angie;w
Angus;m
